txn_id,amount,merchant,settle_date
TXN_000000,365.14,Café Coffee Day,2024-11-18
TXN_000001,157.82,Flipkart,2024-11-16
TXN_000002,334.45,Uber,2024-11-16
UNKNOWN_867760,410.42,Uber,2024-11-18
TXN_000005,460.07,Blue Tokai Coffee,2024-11-18
TXN_000006,376.2,MakeMyTrip,2024-11-18
TXN_000007,92.8,Uber,2024-11-18
TXN_000008,108.83,MakeMyTrip,2024-11-18
TXN_000009,90.25,MakeMyTrip,2024-11-18
TXN_000010,376.88,Flipkart,2024-11-16
TXN_000012,20.55,Netflix India,2024-11-18
TXN_000013,409.81,PVR Cinemas,2024-11-17
TXN_000014,487.15,DMart,2024-11-18
TXN_000015,242.88,Netflix India,2024-11-18
TXN_000016,475.18,DMart,2024-11-16
TXN_000017,320.14,DMart,2024-11-18
TXN_000018,183.33,Flipkart,2024-11-17
TXN_000019,231.37,MakeMyTrip,2024-11-16
TXN_000020,265.48,Uber,2024-11-17
TXN_000021,79.76,Café Coffee Day,2024-11-18
TXN_000022,230.46,Flipkart,2024-11-18
TXN_000023,102.0,Blue Tokai Coffee,2024-11-16
TXN_000024,433.51,Blue Tokai Coffee,2024-11-18
TXN_000025,213.38,MakeMyTrip,2024-11-17
TXN_000026,351.43,Blue Tokai Coffee,2024-11-17
TXN_000027,287.95,Amazon India,2024-11-16
TXN_000028,436.55,Netflix India,2024-11-18
UNKNOWN_690537,315.3,BookMyShow,2024-11-18
TXN_000030,350.14,PVR Cinemas,2024-11-18
TXN_000031,102.09,Blue Tokai Coffee,2024-11-17
TXN_000032,315.83,BookMyShow,2024-11-16
TXN_000033,156.26,MakeMyTrip,2024-11-16
TXN_000034,319.38,Blue Tokai Coffee,2024-11-17
TXN_000035,277.76,PVR Cinemas,2024-11-16
TXN_000036,23.06,Uber,2024-11-18
TXN_000037,329.25,BookMyShow,2024-11-18
TXN_000038,470.39,Amazon India,2024-11-16
TXN_000039,324.88,Netflix India,2024-11-18
TXN_000040,447.55,MakeMyTrip,2024-11-17
TXN_000041,488.14,Café Coffee Day,2024-11-17
TXN_000042,388.68,PVR Cinemas,2024-11-17
TXN_000043,450.11,Flipkart,2024-11-18
TXN_000044,218.5,Blue Tokai Coffee,2024-11-18
TXN_000045,161.0,Indian Oil Petrol Pump,2024-11-17
TXN_000046,52.74,Indian Oil Petrol Pump,2024-11-18
TXN_000047,89.58,PVR Cinemas,2024-11-17
TXN_000048,74.2,Flipkart,2024-11-18
TXN_000049,18.38,Flipkart,2024-11-18
TXN_000050,144.69,Netflix India,2024-11-18
TXN_000051,452.73,Café Coffee Day,2024-11-16
UNKNOWN_692758,175.27,Uber,2024-11-18
TXN_000053,263.14,DMart,2024-11-18
TXN_000054,293.81,Blue Tokai Coffee,2024-11-16
TXN_000055,280.41,Flipkart,2024-11-18
TXN_000056,296.31,Uber,2024-11-17
TXN_000057,315.11,PVR Cinemas,2024-11-17
TXN_000058,452.29,BookMyShow,2024-11-18
TXN_000059,133.8,Uber,2024-11-17
TXN_000060,201.78,DMart,2024-11-17
TXN_000061,132.79,MakeMyTrip,2024-11-17
TXN_000062,331.3,Flipkart,2024-11-18
TXN_000063,246.66,Indian Oil Petrol Pump,2024-11-16
TXN_000064,370.3,BookMyShow,2024-11-18
TXN_000065,173.17,PVR Cinemas,2024-11-18
TXN_000066,364.41,DMart,2024-11-16
TXN_000067,388.83,Amazon India,2024-11-18
UNKNOWN_108938,136.65,Amazon India,2024-11-18
TXN_000070,370.08,Flipkart,2024-11-16
TXN_000071,412.5,Blue Tokai Coffee,2024-11-16
TXN_000072,492.56,PVR Cinemas,2024-11-16
UNKNOWN_229400,53.11,Uber,2024-11-18
TXN_000074,80.59,MakeMyTrip,2024-11-17
TXN_000075,276.75,Amazon India,2024-11-16
TXN_000076,361.46,Blue Tokai Coffee,2024-11-18
TXN_000077,12.55,Uber,2024-11-16
TXN_000078,56.41,Uber,2024-11-17
TXN_000079,449.33,Flipkart,2024-11-18
TXN_000080,387.46,DMart,2024-11-17
TXN_000082,303.43,DMart,2024-11-18
TXN_000083,243.7,Netflix India,2024-11-16
TXN_000085,356.1,MakeMyTrip,2024-11-16
TXN_000086,393.24,PVR Cinemas,2024-11-16
UNKNOWN_500578,387.64,PVR Cinemas,2024-11-18
TXN_000088,145.79,Indian Oil Petrol Pump,2024-11-16
